philanthropist,revolution,0,1
1970s,philanthropist,0,1
microcomputer,pioneer,0,1
pioneer,revolution,0,1
1970s,pioneer,0,1
1980s,pioneer,0,1
microcomputer,revolution,0,1
1970s,microcomputer,0,1
1980s,microcomputer,0,1
co-founded,microcomputer,0,1
1970s,revolution,0,1
1980s,revolution,0,1
co-founded,revolution,0,1
revolution,software,0,1
1970s,1980s,0,1
1970s,co-founded,0,1
1970s,software,0,1
1970s,company,0,1
1980s,co-founded,0,1
1980s,software,0,1
1980s,company,0,1
1980s,microsoft,0,1
co-founded,software,0,1
co-founded,company,0,1
co-founded,microsoft,0,1
1975,co-founded,0,1
company,software,0,1
microsoft,software,0,1
1975,software,0,1
his,software,0,1
company,microsoft,0,1
1975,company,0,1
company,his,0,1
childhood,company,0,1
1975,microsoft,0,1
his,microsoft,0,1
childhood,microsoft,0,1
friend,microsoft,0,2
1975,his,0,1
1975,childhood,0,1
1975,friend,0,1
1975,paul,0,1
childhood,his,0,1
friend,his,0,1
his,paul,0,1
allen,his,0,1
childhood,friend,0,1
childhood,paul,0,1
allen,childhood,0,1
childhood,following,0,1
friend,paul,0,1
allen,friend,0,1
following,friend,0,1
allen,paul,0,1
following,paul,0,1
microsoft,paul,0,1
initial,paul,0,1
allen,following,0,1
allen,microsoft,0,1
allen,initial,0,1
allen,public,0,1
following,microsoft,0,1
following,initial,0,1
following,public,0,1
following,offering,0,1
initial,microsoft,0,1
microsoft,public,0,1
microsoft,offering,0,1
1986,microsoft,0,1
initial,public,0,1
initial,offering,0,1
1986,initial,0,1
initial,subsequent,0,1
offering,public,0,1
1986,public,0,1
public,subsequent,0,1
increase,public,0,1
1986,offering,0,1
offering,subsequent,0,1
increase,offering,0,1
offering,stock,0,1
1986,subsequent,0,1
1986,increase,0,1
1986,stock,0,1
1986,price,0,1
increase,subsequent,0,1
stock,subsequent,0,1
price,subsequent,0,1
increase,stock,0,1
increase,price,0,1
price,stock,0,1
refer,singular,0,3
proximal,refer,0,3
demonstrative,refer,0,3
pronoun,refer,0,3
proximal,singular,0,3
demonstrative,singular,0,3
pronoun,singular,0,3
demonstrative,proximal,0,3
pronoun,proximal,0,3
demonstrative,pronoun,0,3
advanced,refer,0,1
life,refer,0,1
refer,support,0,1
obstetrics,refer,0,1
advanced,life,0,1
advanced,support,0,1
advanced,obstetrics,0,1
advanced,program,0,1
life,support,0,1
life,obstetrics,0,1
life,program,0,1
developed,life,0,1
obstetrics,support,0,1
program,support,0,1
developed,support,0,1
american,support,0,1
obstetrics,program,0,1
developed,obstetrics,0,1
american,obstetrics,0,1
academy,obstetrics,0,1
developed,program,0,1
american,program,0,1
academy,program,0,1
family,program,0,1
american,developed,0,1
academy,developed,0,1
developed,family,0,1
developed,physicians,0,1
academy,american,0,1
american,family,0,1
american,physicians,0,1
alsó-fehér,american,0,1
academy,family,0,1
academy,physicians,0,1
academy,alsó-fehér,0,1
academy,county,0,1
family,physicians,0,1
alsó-fehér,family,0,1
county,family,0,1
family,historic,0,1
alsó-fehér,physicians,0,1
county,physicians,0,1
historic,physicians,0,1
administrative,physicians,0,1
alsó-fehér,county,0,2
alsó-fehér,historic,0,1
administrative,alsó-fehér,0,1
county,historic,0,2
administrative,county,0,2
comitatus,county,0,2
administrative,historic,0,1
comitatus,historic,0,1
historic,kingdom,0,1
administrative,comitatus,0,1
administrative,kingdom,0,1
administrative,hungary,0,1
county,kingdom,0,1
county,hungary,0,1
county,holding,0,1
comitatus,kingdom,0,1
comitatus,hungary,0,1
comitatus,holding,0,1
comitatus,swiss,0,1
hungary,kingdom,0,1
holding,kingdom,0,1
kingdom,swiss,0,1
distribution,kingdom,0,1
holding,hungary,0,1
hungary,swiss,0,1
distribution,hungary,0,1
hungary,logistics,0,1
holding,swiss,0,1
distribution,holding,0,1
holding,logistics,0,1
company,holding,0,1
distribution,swiss,0,1
logistics,swiss,0,1
company,swiss,0,1
distribution,logistics,0,1
company,distribution,0,1
company,logistics,0,1
rate,rates,0,2
rate,refer,0,2
rates,refer,0,2
